Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=1
hadamard_importance=False
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=False
pretrained_model='attention-16d'
proto_dim=16
push_after=20
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-p40-kmeans-push20'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            116 |           0.03 |          93.62 |          81.08 |          80.59 |           0.39 |           0.00 |          -3.66 
            117 |           0.04 |          92.06 |          79.40 |          78.92 |           0.40 |           0.00 |          -3.62 
            118 |           0.04 |          93.93 |          81.80 |          80.98 |           0.40 |           0.00 |          -3.62 
            119 |           0.02 |          94.10 |          82.04 |          81.12 |           0.39 |           0.00 |          -3.69 
            120 |           0.02 |          92.65 |          80.60 |          79.20 |           0.39 |           0.00 |          -3.68 
            121 |           0.01 |          92.69 |          80.60 |          79.06 |           0.38 |           0.00 |          -3.72 
            122 |           0.05 |          94.00 |          82.16 |          80.83 |           0.41 |           0.00 |          -3.60 
            123 |           0.00 |          94.28 |          82.99 |          80.64 |           0.38 |           0.00 |          -3.74 
            124 |           0.03 |          93.28 |          81.32 |          80.83 |           0.40 |           0.00 |          -3.63 
            125 |           0.05 |          94.35 |          82.28 |          80.40 |           0.41 |           0.00 |          -3.60 
            126 |           0.05 |          94.41 |          81.92 |          80.55 |           0.41 |           0.00 |          -3.60 
            127 |           0.03 |          94.12 |          82.63 |          80.55 |           0.40 |           0.00 |          -3.64 
            128 |           0.04 |          94.09 |          82.51 |          80.31 |           0.40 |           0.00 |          -3.63 
            129 |           0.05 |          94.42 |          81.68 |          80.50 |           0.41 |           0.00 |          -3.59 
            130 |           0.01 |          94.58 |          82.28 |          80.21 |           0.38 |           0.00 |          -3.72 
            131 |           0.04 |          94.32 |          82.04 |          80.50 |           0.40 |           0.00 |          -3.64 
            132 |           0.03 |          94.14 |          81.32 |          80.02 |           0.39 |           0.00 |          -3.66 
            133 |           0.05 |          94.38 |          81.68 |          80.11 |           0.41 |           0.00 |          -3.60 
            134 |          -0.01 |          94.00 |          81.68 |          79.78 |           0.37 |           0.00 |          -3.77 
            135 |           0.04 |          94.38 |          81.56 |          79.73 |           0.40 |           0.00 |          -3.61 
            136 |           0.00 |          94.54 |          81.68 |          80.31 |           0.38 |           0.00 |          -3.74 
            137 |           0.01 |          94.57 |          81.80 |          80.50 |           0.38 |           0.00 |          -3.72 
            138 |           0.02 |          94.17 |          82.51 |          80.55 |           0.39 |           0.00 |          -3.68 
            139 |           0.02 |          94.06 |          82.04 |          80.59 |           0.39 |           0.00 |          -3.69 
            140 |          -0.01 |          94.25 |          81.92 |          79.88 |           0.37 |           0.00 |          -3.77 
            141 |           0.04 |          94.20 |          81.08 |          80.69 |           0.40 |           0.00 |          -3.62 
            142 |           0.02 |          94.55 |          82.04 |          80.79 |           0.39 |           0.00 |          -3.69 
            143 |          -0.00 |          94.46 |          81.80 |          80.64 |           0.37 |           0.00 |          -3.74 
            144 |           0.00 |          94.70 |          82.63 |          80.74 |           0.37 |           0.00 |          -3.74 
            145 |           0.02 |          94.10 |          82.40 |          80.69 |           0.39 |           0.00 |          -3.67 
            146 |           0.05 |          94.28 |          82.75 |          80.21 |           0.41 |           0.00 |          -3.60 
            147 |           0.04 |          94.34 |          81.56 |          80.40 |           0.40 |           0.00 |          -3.63 
            148 |           0.03 |          94.17 |          81.68 |          79.73 |           0.40 |           0.00 |          -3.64 
            149 |           0.06 |          94.39 |          82.28 |          80.07 |           0.41 |           0.00 |          -3.58 
            150 |           0.01 |          94.01 |          81.20 |          80.35 |           0.38 |           0.00 |          -3.71 
            151 |           0.05 |          94.14 |          82.04 |          80.16 |           0.41 |           0.00 |          -3.58 
            152 |           0.04 |          94.33 |          81.68 |          80.55 |           0.40 |           0.00 |          -3.62 
            153 |           0.03 |          94.18 |          80.72 |          79.83 |           0.39 |           0.00 |          -3.66 
            154 |           0.02 |          94.55 |          82.04 |          80.79 |           0.39 |           0.00 |          -3.69 
            155 |           0.02 |          94.13 |          81.80 |          79.97 |           0.39 |           0.00 |          -3.67 
            156 |           0.04 |          94.49 |          81.80 |          80.35 |           0.40 |           0.00 |          -3.63 
            157 |           0.01 |          94.17 |          81.08 |          80.79 |           0.38 |           0.00 |          -3.71 
            158 |           0.03 |          94.55 |          82.16 |          80.55 |           0.39 |           0.00 |          -3.66 
            159 |           0.01 |          94.85 |          82.40 |          80.55 |           0.38 |           0.00 |          -3.72 
            160 |           0.01 |          94.86 |          81.80 |          80.74 |           0.38 |           0.00 |          -3.73 
            161 |           0.02 |          94.33 |          81.44 |          80.59 |           0.39 |           0.00 |          -3.69 
            162 |          -0.00 |          94.43 |          82.04 |          80.02 |           0.37 |           0.00 |          -3.76 
            163 |          -0.02 |          94.61 |          81.80 |          80.35 |           0.36 |           0.00 |          -3.79 
            164 |           0.01 |          94.75 |          81.68 |          80.59 |           0.38 |           0.00 |          -3.72 
            165 |           0.05 |          94.51 |          82.63 |          79.88 |           0.41 |           0.00 |          -3.60 
            166 |           0.04 |          94.98 |          82.16 |          80.64 |           0.40 |           0.00 |          -3.63 
            167 |           0.01 |          94.87 |          81.92 |          80.40 |           0.38 |           0.00 |          -3.70 
            168 |           0.00 |          94.81 |          81.68 |          80.45 |           0.38 |           0.00 |          -3.73 
            169 |           0.02 |          95.07 |          82.28 |          80.59 |           0.39 |           0.00 |          -3.68 
            170 |           0.05 |          94.91 |          82.40 |          80.64 |           0.41 |           0.00 |          -3.61 
