Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
             73 |           0.32 |          82.54 |          80.10 |          81.64 |           0.48 |           0.00 |          -1.63 
             74 |           0.32 |          82.54 |          80.42 |          81.64 |           0.48 |           0.00 |          -1.65 
             75 |           0.32 |          82.73 |          81.12 |          81.90 |           0.49 |           0.00 |          -1.63 
             76 |           0.32 |          82.73 |          81.06 |          81.90 |           0.48 |           0.00 |          -1.69 
             77 |           0.33 |          82.69 |          80.87 |          81.84 |           0.49 |           0.00 |          -1.66 
             78 |           0.31 |          82.77 |          80.87 |          81.71 |           0.48 |           0.00 |          -1.72 
             79 |           0.32 |          82.73 |          80.99 |          81.77 |           0.49 |           0.00 |          -1.71 
             80 |           0.30 |          82.82 |          80.93 |          81.90 |           0.47 |           0.00 |          -1.74 
             81 |           0.32 |          82.84 |          80.23 |          82.03 |           0.49 |           0.00 |          -1.74 
             82 |           0.35 |          82.81 |          80.23 |          81.96 |           0.49 |           0.00 |          -1.49 
             83 |           0.33 |          82.78 |          80.61 |          81.77 |           0.49 |           0.00 |          -1.53 
             84 |           0.35 |          82.68 |          80.10 |          81.90 |           0.50 |           0.00 |          -1.45 
             85 |           0.35 |          82.75 |          80.04 |          81.90 |           0.50 |           0.00 |          -1.51 
             86 |           0.33 |          82.70 |          80.04 |          81.84 |           0.48 |           0.00 |          -1.53 
             87 |           0.35 |          82.65 |          79.97 |          81.84 |           0.50 |           0.00 |          -1.48 
             88 |           0.35 |          82.81 |          80.48 |          81.90 |           0.50 |           0.00 |          -1.47 
             89 |           0.32 |          82.66 |          79.78 |          81.96 |           0.48 |           0.00 |          -1.57 
             90 |           0.35 |          82.77 |          80.48 |          82.09 |           0.50 |           0.00 |          -1.48 
             91 |           0.36 |          82.77 |          80.42 |          82.03 |           0.50 |           0.00 |          -1.47 
             92 |           0.34 |          82.81 |          80.55 |          81.90 |           0.49 |           0.00 |          -1.50 
             93 |           0.33 |          82.57 |          79.78 |          81.64 |           0.48 |           0.00 |          -1.58 
             94 |           0.35 |          82.56 |          79.91 |          81.77 |           0.49 |           0.00 |          -1.42 
             95 |           0.36 |          82.49 |          79.72 |          81.64 |           0.50 |           0.00 |          -1.38 
             96 |           0.35 |          82.78 |          80.42 |          82.09 |           0.49 |           0.00 |          -1.40 
             97 |           0.35 |          82.49 |          79.85 |          81.84 |           0.49 |           0.00 |          -1.43 
             98 |           0.38 |          82.73 |          80.42 |          82.15 |           0.51 |           0.00 |          -1.35 
             99 |           0.37 |          82.80 |          80.36 |          82.09 |           0.50 |           0.00 |          -1.37 
            100 |           0.33 |          82.80 |          80.29 |          82.15 |           0.48 |           0.00 |          -1.50 
            101 |           0.34 |          82.84 |          80.17 |          81.96 |           0.49 |           0.00 |          -1.51 
            102 |           0.35 |          82.82 |          80.23 |          82.03 |           0.49 |           0.00 |          -1.47 
            103 |           0.33 |          82.74 |          80.10 |          82.03 |           0.49 |           0.00 |          -1.55 
            104 |           0.32 |          82.77 |          80.10 |          81.96 |           0.48 |           0.00 |          -1.58 
            105 |           0.33 |          82.77 |          80.29 |          82.15 |           0.49 |           0.00 |          -1.58 
            106 |           0.32 |          82.81 |          80.48 |          82.28 |           0.48 |           0.00 |          -1.62 
            107 |           0.33 |          82.81 |          80.48 |          82.28 |           0.49 |           0.00 |          -1.61 
            108 |           0.32 |          82.74 |          80.17 |          82.09 |           0.49 |           0.00 |          -1.64 
            109 |           0.34 |          82.81 |          80.55 |          82.60 |           0.50 |           0.00 |          -1.57 
            110 |           0.32 |          82.91 |          80.61 |          82.66 |           0.48 |           0.00 |          -1.62 
            111 |           0.33 |          82.86 |          80.36 |          82.41 |           0.49 |           0.00 |          -1.69 
            112 |           0.32 |          82.86 |          80.10 |          81.90 |           0.49 |           0.00 |          -1.67 
            113 |           0.32 |          82.85 |          80.04 |          82.09 |           0.49 |           0.00 |          -1.69 
            114 |           0.32 |          82.88 |          80.42 |          82.28 |           0.49 |           0.00 |          -1.72 
