Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='MLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='adam'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model=None
proto_dim=16
push_after=40
save_best=True
save_data=False
save_dir='saved_models'
save_name='mlp-b1000'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            218 |           0.25 |          87.05 |          81.89 |          82.35 |           0.00 |           0.00 |           0.00 
            219 |           0.24 |          87.29 |          82.91 |          82.41 |           0.00 |           0.00 |           0.00 
            220 |           0.26 |          87.12 |          82.59 |          82.35 |           0.00 |           0.00 |           0.00 
            221 |           0.23 |          87.19 |          82.40 |          82.79 |           0.00 |           0.00 |           0.00 
            222 |           0.28 |          87.04 |          82.27 |          82.79 |           0.00 |           0.00 |           0.00 
            223 |           0.30 |          87.07 |          82.40 |          82.35 |           0.00 |           0.00 |           0.00 
            224 |           0.27 |          86.76 |          82.59 |          82.60 |           0.00 |           0.00 |           0.00 
            225 |           0.26 |          86.62 |          82.40 |          81.90 |           0.00 |           0.00 |           0.00 
            226 |           0.26 |          87.29 |          81.89 |          82.22 |           0.00 |           0.00 |           0.00 
            227 |           0.26 |          87.12 |          82.02 |          82.47 |           0.00 |           0.00 |           0.00 
            228 |           0.27 |          87.47 |          82.33 |          83.62 |           0.00 |           0.00 |           0.00 
            229 |           0.26 |          87.28 |          81.82 |          82.92 |           0.00 |           0.00 |           0.00 
            230 |           0.25 |          87.49 |          81.82 |          82.28 |           0.00 |           0.00 |           0.00 
            231 |           0.26 |          87.07 |          82.21 |          82.15 |           0.00 |           0.00 |           0.00 
            232 |           0.25 |          86.48 |          82.53 |          82.03 |           0.00 |           0.00 |           0.00 
            233 |           0.25 |          87.05 |          81.95 |          82.54 |           0.00 |           0.00 |           0.00 
            234 |           0.29 |          86.81 |          80.68 |          83.05 |           0.00 |           0.00 |           0.00 
            235 |           0.26 |          87.30 |          82.33 |          81.58 |           0.00 |           0.00 |           0.00 
            236 |           0.26 |          87.22 |          82.08 |          82.86 |           0.00 |           0.00 |           0.00 
            237 |           0.26 |          87.32 |          82.02 |          82.54 |           0.00 |           0.00 |           0.00 
            238 |           0.25 |          87.25 |          82.21 |          82.54 |           0.00 |           0.00 |           0.00 
            239 |           0.26 |          87.15 |          82.40 |          82.60 |           0.00 |           0.00 |           0.00 
            240 |           0.29 |          86.85 |          81.95 |          83.49 |           0.00 |           0.00 |           0.00 
            241 |           0.24 |          86.66 |          81.63 |          82.47 |           0.00 |           0.00 |           0.00 
            242 |           0.28 |          86.99 |          81.70 |          82.09 |           0.00 |           0.00 |           0.00 
            243 |           0.27 |          86.78 |          81.12 |          83.81 |           0.00 |           0.00 |           0.00 
            244 |           0.25 |          87.35 |          82.46 |          82.35 |           0.00 |           0.00 |           0.00 
            245 |           0.25 |          87.30 |          83.16 |          83.17 |           0.00 |           0.00 |           0.00 
            246 |           0.30 |          87.17 |          82.40 |          83.49 |           0.00 |           0.00 |           0.00 
            247 |           0.26 |          86.71 |          81.06 |          83.17 |           0.00 |           0.00 |           0.00 
            248 |           0.24 |          86.60 |          81.57 |          82.73 |           0.00 |           0.00 |           0.00 
            249 |           0.23 |          86.80 |          81.82 |          82.22 |           0.00 |           0.00 |           0.00 
            250 |           0.25 |          86.77 |          81.76 |          82.73 |           0.00 |           0.00 |           0.00 
            251 |           0.27 |          87.20 |          81.31 |          83.05 |           0.00 |           0.00 |           0.00 
            252 |           0.27 |          87.43 |          82.08 |          83.30 |           0.00 |           0.00 |           0.00 
            253 |           0.28 |          87.25 |          80.99 |          82.73 |           0.00 |           0.00 |           0.00 
            254 |           0.28 |          87.45 |          81.70 |          82.98 |           0.00 |           0.00 |           0.00 
            255 |           0.26 |          87.01 |          82.84 |          83.37 |           0.00 |           0.00 |           0.00 
            256 |           0.28 |          87.41 |          83.29 |          82.60 |           0.00 |           0.00 |           0.00 
            257 |           0.26 |          87.21 |          82.91 |          82.92 |           0.00 |           0.00 |           0.00 
            258 |           0.26 |          87.52 |          81.95 |          82.22 |           0.00 |           0.00 |           0.00 
            259 |           0.25 |          87.79 |          82.65 |          83.11 |           0.00 |           0.00 |           0.00 
            260 |           0.23 |          87.38 |          82.53 |          82.41 |           0.00 |           0.00 |           0.00 
            261 |           0.25 |          88.16 |          82.91 |          82.47 |           0.00 |           0.00 |           0.00 
            262 |           0.25 |          87.84 |          82.72 |          82.41 |           0.00 |           0.00 |           0.00 
------------------------------------------------------------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 111, token-acc, dev = 83.42 | test = 83.49)
------------------------------------------------------------------------------------------------------------------------------------------
*** Token-level accuracy: 83.49% ***
 	 TP: 85.22 | abs: 640
 	 FP: 14.78 | abs: 111
 	 TN: 81.91 | abs: 670
 	 FN: 18.09 | abs: 148
Neg class: above $50K, Pos class: below $50K
Input arguments:
python3 main.py --model MLP --save-name mlp-b1000

 Best performance: 83.4927
